station_id,station_name,latitude,longitude,first_used,last_used,latitude_pca,longitude_pca
82,Washington Square at Washington St. / Beacon St.,42.339335,-71.13493000000003,2015-04-28,2016-11-30,-0.03534280367599596,0.03445003865698402
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,2015-01-01,2016-11-30,0.008494538087588294,-0.013088646086143496
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,2015-01-01,2016-11-30,0.029776077528920832,-0.0339406136912963
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,2015-01-01,2016-11-30,-0.026362062866984913,0.0013891138888766465
88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,2015-01-01,2016-11-30,-0.017285360754588468,-0.010276572707413
89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,2015-01-01,2016-11-30,-0.03631862217821177,-0.007950232323889002
90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,2015-01-01,2016-11-30,0.007056598311511487,-0.01649393523691526
91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,2015-01-01,2016-11-30,-0.005350607035431448,-0.006732932395088434
93,JFK / UMASS at MBTA Station,42.320494,-71.05112199999998,2015-04-17,2016-11-30,0.049418356596299375,0.020510531696467903
94,Charlestown - Main St at Austin St,42.37560300000001,-71.06460799999998,2015-04-17,2016-11-30,0.01626280099212774,-0.02552839975920816
95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,2015-01-01,2016-11-30,-0.010412692624396723,-0.01190479651646358
96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,2015-01-01,2016-11-30,-0.025984413623656843,-0.006052745156349363
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,2015-01-01,2016-11-30,-0.03003884763435345,0.00010403765693558905
98,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,2015-01-05,2016-11-30,0.021671472266964194,-0.023664490952256614
99,Wilson Square,42.385582,-71.113341,2015-04-13,2016-11-30,-0.032658409250807985,-0.016517244540877152
100,Davis Square,42.396969,-71.123024,2015-04-14,2016-11-30,-0.045903083414875465,-0.023445654480219357
102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,2015-04-17,2016-11-30,-0.0415712461128247,-0.029411821892270915
103,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,2015-04-17,2016-11-30,-0.03197330659700637,0.025291894225104396
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,2015-01-01,2016-11-30,-0.04158262319870899,-0.007198758268315361
105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,2015-01-01,2016-11-30,-0.022250713966332627,0.010154125481402747
107,Ames St at Main St,42.3625,-71.08821999999998,2015-01-01,2016-11-30,-0.0007180380293621011,-0.004531584307177256
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,2015-01-01,2016-11-30,-0.033063591758688844,-0.008116162935789763
109,TD Garden - West End Park,42.365884815435635,-71.06454849243164,2015-01-02,2016-11-30,0.019959908116777933,-0.01654073870157729
110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,2015-01-01,2016-11-30,-0.02983994614695247,-0.00771931917564231
111,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,2015-04-17,2016-11-30,-0.04908226542542905,-0.030272774205537853
112,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,2015-04-15,2016-11-30,-0.03098612178364618,-0.02284293340670041
114,Teele Square at 239 Holland St,42.402763,-71.126908,2015-04-16,2016-11-30,-0.051675362157177294,-0.027361863121390575
115,Porter Square Station,42.387995,-71.119084,2015-01-01,2016-11-30,-0.03888716549299296,-0.016602177899310726
116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,2015-01-01,2016-11-30,-0.018841618302801958,-0.006161465000003448
117,Binney St / Sixth St,42.366095,-71.086388,2015-01-01,2016-11-30,-0.0003667904019644634,-0.008551145739000494
118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,2015-01-01,2016-11-30,-0.053171010525228886,-0.021434391066696815
119,South Boston Library - 646 East Broadway,42.335741,-71.03877,2015-04-17,2016-11-30,0.05515630550073187,0.0017457014182676416
121,West Broadway at Dorchester St,42.335693,-71.045859,2015-04-17,2016-11-30,0.04860191194425452,0.004446840086813823
124,Curtis Hall at South Street,42.309054,-71.11543,2015-04-17,2016-11-30,-0.005915936515387939,0.055216560997339764
126,Egleston Square at Columbus Ave,42.315692,-71.09863399999998,2015-04-17,2016-11-30,0.00716841529027068,0.042767930637873375
129,Hayes Square at Vine St.,42.377022,-71.056605,2015-04-17,2016-11-30,0.023150797033025,-0.02984315126307479
130,Upham's Corner - Ramsey St at Dudley St,42.317225,-71.065421,2015-04-17,2016-11-30,0.037386484437578534,0.028899918703682123
131,Jackson Square T at Centre St,42.322701,-71.099533,2015-04-17,2016-11-30,0.0037082745109912633,0.036606623326299735
133,Green St T,42.310579,-71.107341,2015-04-17,2016-11-30,0.001012068178583075,0.050771305441101415
135,ID Building East,42.344827,-71.028664,2015-04-17,2016-11-30,0.06112079825178836,-0.01046541885067256
136,ID Building West,42.344796,-71.031614,2015-04-17,2016-11-30,0.0583973999541649,-0.009331151372300473
137,Magoun Square at Trum Field,42.39836500000001,-71.10781800000002,2015-04-17,2016-11-30,-0.03232839409530533,-0.03043844089741485
138,Mass Ave at Newmarket Square,42.326599,-71.066498,2015-04-17,2016-11-30,0.03287502051025709,0.02061266956826405
139,Dana Park,42.361589,-71.107437,2015-04-17,2016-11-30,-0.01819317764577241,0.003514688456528791
140,Danehy Park,42.388966,-71.132788,2015-01-01,2016-11-30,-0.05195635920937503,-0.012366775603919326
141,Kendall Street,42.36356015842989,-71.08216792345047,2015-01-01,2016-11-30,0.00449568772496012,-0.007782527280577822
142,Alewife Station at Russell Field,42.396105,-71.139459,2015-01-01,2016-11-30,-0.060816577636389875,-0.016485524373324872
143,EF - North Point Park,42.369885,-71.06995699999997,2015-01-01,2016-11-30,0.013446462803251607,-0.01822254154774456
145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,2015-01-01,2016-11-30,-0.049907421045612646,-0.017293678119812538
149,Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164,2015-01-01,2016-11-30,-0.039163883854275314,0.009610823225100248
150,State Street at Channel Center,42.344137,-71.05260799999998,2015-04-17,2016-11-30,0.03918032284484706,-0.0008525745829206883
151,John F Fitzgerald - Surface Road at India Street,42.358155,-71.05216300000002,2015-04-17,2016-11-30,0.03433958033933867,-0.014015764203796355
152,Ink Block,42.345901,-71.063187,2015-04-17,2016-11-30,0.02871121096865696,0.0014765096843921519
